"","venue","show_date","Name","Spotify"
"87","Park West",2023-10-12,"Kiana Ledé","7jZMxhsB8djyIbYmoiJSTs"
"88","Park West",2023-10-12,"Phabo","5FdZDr2bMbEcnsEKRgO3rn"
"89","The Salt Shed",2023-10-12,"Thundercat","4frXpPxQQZwbCu3eTGnZEw"
"90","The Salt Shed",2023-10-12,"TiaCorine","39i5B6umzWzkfMe12JrMwW"
"91","Radius",2023-10-12,"Zhu","28j8lBWDdDSHSSt5oPlsX2"
"92","Radius",2023-10-12,"Noizu","3VRyybsQu0MDG0F2LBxnv7"
"93","Concord Music Hall",2023-10-12,"NoCap","4PNHuWkk4ee6R8WEhFVPf5"
"94","Metro",2023-10-12,"Everything Everything","1HOeqtP7tHkKNJNLzQ2tnr"
"95","The Vic Theatre",2023-10-12,"The Chats","1aQ7P3HtKOQFW16ebjiks1"
"96","The Vic Theatre",2023-10-12,"Cosmic Psychos","3orc30EUucavid98kNtMEf"
"97","The Vic Theatre",2023-10-12,"The Schizophonics","5RWdl2eyEHnzybGz5Wdvtk"
"98","The Vic Theatre",2023-10-12,"Gymshorts","7beEZjleJaaPl01bT6S4bz"
"99","Schubas",2023-10-12,"Próxima Parada","43cM1JWUzdfkZCi7rjkPnz"
"100","Schubas",2023-10-12,"Olive Klug","3SEtmo8E5DJVuGddKYqeiU"
"101","Lincoln Hall",2023-10-12,"Geese","0WCo84qtCKfbyIf1lqQWB4"
"102","The Salt Shed",2023-10-13,"Band of Horses","0OdUWJ0sBjDrqHygGUXeCF"
"103","The Salt Shed",2023-10-13,"Bella White","7Bk7ojRJfkv48w69JNF66V"
"104","The Salt Shed",2023-10-13,"Phosphorescent","57kIMCLPgkzQlXjblX7XXP"
"105","The Vic Theatre",2023-10-13,"The Darkness","5r1bdqzhgRoHC3YcCV6N5a"
"106","Concord Music Hall",2023-10-13,"Polaris","0v2e0oznnTaIXKLGKHphfX"
"107","Concord Music Hall",2023-10-13,"Currents","5pqvAI85RMxL9K0xHvSwGu"
"108","Concord Music Hall",2023-10-13,"Varials","6EFV3PmaXblKwNbvpkGv9l"
"109","The Riviera Theatre",2023-10-13,"Lucinda Williams","60ht0hWRy1yjUDfNsLuHuP"
"110","Park West",2023-10-13,"G Flip","4SdIXLzfabqU61iK7SnKAU"
"111","Park West",2023-10-13,"Miki Ratsula","3Yq0Ww7oAbgxcoOxthlS30"
"112","Lincoln Hall",2023-10-13,"Blanco White","3ccVtqcqedranb7y8eywJ5"
"113","Chop Shop",2023-10-13,"TAUK","6qauwCj8W2mTcDGbyDGo6O"
"114","Chop Shop",2023-10-13,"Dopapod","6ur6SxSBdRLBgehOIT2iwX"
"115","Bottom Lounge",2023-10-13,"Superheaven","1IHjrY7ygKbmLVoUV1VcXc"
"116","Metro",2023-10-13,"Botch","4kRYDoAbgDL7nqeqZhJlA3"
"117","Schubas",2023-10-13,"Esmé Patterson","1PoFNQQDFXvOYm6Dx8coAa"
"118","Schubas",2023-10-13,"V.V. Lightbody","0g7sn95ZJ9iMKdmIAec3E5"
"119","House of Blues",2023-10-13,"Rod Tuffcurls and the Bench Press","6jK9qRvRxgGhmzq7lq49H9"
"120","The Vic Theatre",2023-10-14,"Tom Odell","2txHhyCwHjUEpJjWrEyqyX"
"121","The Vic Theatre",2023-10-14,"Jane’s Party","16SY7vICMlc8XGaTPocEa3"
"122","Byline Bank Aragon Ballroom",2023-10-14,"James Blake","53KwLdlmrlCelAZMaLVZqU"
"123","The Salt Shed",2023-10-14,"Colter Wall","3xYXYzm9H3RzyQgBrYwIcx"
"124","The Salt Shed",2023-10-14,"Red Shahan","5DPP8EALeVGnupgVjlWOwJ"
"125","Radius",2023-10-14,"San Holo","0jNDKefhfSbLR9sFvcPLHo"
"126","Radius",2023-10-14,"ford.","7ItbAZITSFxSy5LJChXe18"
"127","House of Blues",2023-10-14,"Jessie Murph","2yLzlEFtIS0Q9UkyBZdQA7"
"128","House of Blues",2023-10-14,"Henry Verus","6H79VfD8FjtzQHYdVwZ3I4"
"129","Concord Music Hall",2023-10-14,"KANKAN","7tFehEdzjjoeiwUExR89qs"
"130","Concord Music Hall",2023-10-14,"Summrs","5L15t6I0PQS9SBXbiklPEN"
"131","Concord Music Hall",2023-10-14,"F1LTHY","6NmvwMFvNRQmWdW5N1nxsC"
"132","Concord Music Hall",2023-10-14,"Highway","3ipYF6lYiU7lmIb5k3JGej"
"133","Concord Music Hall",2023-10-14,"OsamaSon","0uj6QiPsPfK8ywLC7uwBE1"
"134","The Riviera Theatre",2023-10-14,"Streetlight Manifesto","1OKOTYGoCE2buxTYMegJp7"
"135","Bottom Lounge",2023-10-14,"Protest the Hero","6z3BjfmgvDUIHaJ0UPTtrQ"
"136","Bottom Lounge",2023-10-14,"Moon Tooth","7ssGZO3qDsbwCaBOBcQ4aA"
