"","venue","show_date","artist","artist_id","song","song_id","track_uri"
"74","Lincoln Hall",2023-10-05,"Krooked Kings","6PbMwLmbus5mZl93tX1lXE","Sick of Being Young","3liKCBtHN7ltZKJZixKLmh","spotify:track:3liKCBtHN7ltZKJZixKLmh"
"75","Lincoln Hall",2023-10-05,"Krooked Kings","6PbMwLmbus5mZl93tX1lXE","Coming of Age","0H9hlZxZdRWAVIVFmqeDci","spotify:track:0H9hlZxZdRWAVIVFmqeDci"
"76","Lincoln Hall",2023-10-05,"Krooked Kings","6PbMwLmbus5mZl93tX1lXE","Bird Scooter","7mNJfUNTwiAiL30O2cDqxZ","spotify:track:7mNJfUNTwiAiL30O2cDqxZ"
"77","Schubas",2023-10-05,"Bre Kennedy","61oqMHI8QuFrE5Qt91uJAj","Nothing Compares","4I97vwuO13zggYHu0WYE7Y","spotify:track:4I97vwuO13zggYHu0WYE7Y"
"78","Schubas",2023-10-05,"Bre Kennedy","61oqMHI8QuFrE5Qt91uJAj","Down (Exit Song)","4mw2XX72WZ43X7QcrrlIf9","spotify:track:4mw2XX72WZ43X7QcrrlIf9"
"79","Schubas",2023-10-05,"Bre Kennedy","61oqMHI8QuFrE5Qt91uJAj","Whirlwind","7aHjlVS1sqMzYdXVbw3dis","spotify:track:7aHjlVS1sqMzYdXVbw3dis"
"80","Schubas",2023-10-05,"Bre Kennedy","61oqMHI8QuFrE5Qt91uJAj","Control","6TQXgsHzTIPObUdFzlGjeY","spotify:track:6TQXgsHzTIPObUdFzlGjeY"
"81","Schubas",2023-10-05,"Bre Kennedy","61oqMHI8QuFrE5Qt91uJAj","The Vase","4EkQb1LbbJhuq0znGXwlXk","spotify:track:4EkQb1LbbJhuq0znGXwlXk"
"82","Schubas",2023-10-05,"Sarah Walk","4RX6VSUokwl9GVujjrnR7u","Maybe Someday","7HXkJxTHOnj4mnG6PKbLqT","spotify:track:7HXkJxTHOnj4mnG6PKbLqT"
"83","Schubas",2023-10-05,"Sarah Walk","4RX6VSUokwl9GVujjrnR7u","Keep on Dreaming","5inPzBQjbA7k4mOwxeaehc","spotify:track:5inPzBQjbA7k4mOwxeaehc"
"84","Schubas",2023-10-05,"Sarah Walk","4RX6VSUokwl9GVujjrnR7u","Still Frames","5ckqpJ7IRGDNayIgbPVcWw","spotify:track:5ckqpJ7IRGDNayIgbPVcWw"
"85","Schubas",2023-10-05,"Sarah Walk","4RX6VSUokwl9GVujjrnR7u","simply","2K10JxxICDpiCZs5rKIASf","spotify:track:2K10JxxICDpiCZs5rKIASf"
"86","Schubas",2023-10-05,"Sarah Walk","4RX6VSUokwl9GVujjrnR7u","The Circle Game","5SY9cqoP7GSsoQ3Wj64YMd","spotify:track:5SY9cqoP7GSsoQ3Wj64YMd"
"87","House of Blues",2023-10-06,"Adekunle Gold","2IK173RXLiCSQ8fhDlAb3s","Party No Dey Stop (with Zinoleesky)","49ytLGEP5S20N3AhB5YuwJ","spotify:track:49ytLGEP5S20N3AhB5YuwJ"
"88","House of Blues",2023-10-06,"Adekunle Gold","2IK173RXLiCSQ8fhDlAb3s","Ogaranya","3XmvXK6pJRewCn6mAfmsdS","spotify:track:3XmvXK6pJRewCn6mAfmsdS"
"89","House of Blues",2023-10-06,"Adekunle Gold","2IK173RXLiCSQ8fhDlAb3s","Soro","5bYTh2T6OCVtwnQmwWBUis","spotify:track:5bYTh2T6OCVtwnQmwWBUis"
"90","House of Blues",2023-10-06,"Adekunle Gold","2IK173RXLiCSQ8fhDlAb3s","Okay","2Iv3GHM3xFKIPbYSnhJAXO","spotify:track:2Iv3GHM3xFKIPbYSnhJAXO"
"91","House of Blues",2023-10-06,"Adekunle Gold","2IK173RXLiCSQ8fhDlAb3s","High","4G11wDzAKuCFqApL4g3ixC","spotify:track:4G11wDzAKuCFqApL4g3ixC"
"92","House of Blues",2023-10-06,"Adekunle Gold","2IK173RXLiCSQ8fhDlAb3s","Energy","1xWC2YE7OEcgQd4w8Gqa3p","spotify:track:1xWC2YE7OEcgQd4w8Gqa3p"
"93","House of Blues",2023-10-06,"Adekunle Gold","2IK173RXLiCSQ8fhDlAb3s","Wrong Person (with ODUMODUBLVCK)","0upnuatnbGnFV7HJgCm9Xj","spotify:track:0upnuatnbGnFV7HJgCm9Xj"
"94","House of Blues",2023-10-06,"Nonso Amadi","6pOz4M7D8ENqfLSFvciEuV","Different (with Majid Jordan)","0Eq1ybB9XnhbYBWFhKnNhn","spotify:track:0Eq1ybB9XnhbYBWFhKnNhn"
"95","House of Blues",2023-10-06,"Nonso Amadi","6pOz4M7D8ENqfLSFvciEuV","Not Worthy (feat. Nonso Amadi)","18HWae6js8hCuuVFkWrh3V","spotify:track:18HWae6js8hCuuVFkWrh3V"
"96","House of Blues",2023-10-06,"Nonso Amadi","6pOz4M7D8ENqfLSFvciEuV","Kilimanjaro (with BEAM)","3r8tz52ga3zUJwYyMe6lyM","spotify:track:3r8tz52ga3zUJwYyMe6lyM"
"97","House of Blues",2023-10-06,"Nonso Amadi","6pOz4M7D8ENqfLSFvciEuV","Tonight","3n1CZHXSmwEvrC3n8trfLp","spotify:track:3n1CZHXSmwEvrC3n8trfLp"
"98","House of Blues",2023-10-06,"Nonso Amadi","6pOz4M7D8ENqfLSFvciEuV","Danger - RMX","1QBcLNVeXKU6Bzz3z5KPtD","spotify:track:1QBcLNVeXKU6Bzz3z5KPtD"
"99","Concord Music Hall",2023-10-06,"Kordhell","2W6WP4pHQTFlbr2z9S4n54","Murder In My Mind","6qyS9qBy0mEk3qYaH8mPss","spotify:track:6qyS9qBy0mEk3qYaH8mPss"
"100","Concord Music Hall",2023-10-06,"Kordhell","2W6WP4pHQTFlbr2z9S4n54","Live Another Day","34lfu3S4fIcKZRNXzbdbo7","spotify:track:34lfu3S4fIcKZRNXzbdbo7"
"101","Concord Music Hall",2023-10-06,"Kordhell","2W6WP4pHQTFlbr2z9S4n54","Scopin","7KmbiagSkUbepU88x7NWjb","spotify:track:7KmbiagSkUbepU88x7NWjb"
"102","Concord Music Hall",2023-10-06,"Kordhell","2W6WP4pHQTFlbr2z9S4n54","MURDER PLOT","62ZAFyVwbc9f2M8qCW1qJr","spotify:track:62ZAFyVwbc9f2M8qCW1qJr"
"103","Concord Music Hall",2023-10-06,"Kordhell","2W6WP4pHQTFlbr2z9S4n54","LAND OF FIRE","4aYamw19Hloc6hQlJwWM1y","spotify:track:4aYamw19Hloc6hQlJwWM1y"
"104","Bottom Lounge",2023-10-06,"Lauren Sanderson","06vRrrjT3DBRkhBlXoBdYj","GAY 4 ME (feat. Lauren Sanderson)","1ZpcR68PKaoz8DpQDRqFEE","spotify:track:1ZpcR68PKaoz8DpQDRqFEE"
"105","Bottom Lounge",2023-10-06,"Lauren Sanderson","06vRrrjT3DBRkhBlXoBdYj","IDC AT ALL","0L0wwswP2xOiWv25Out7nn","spotify:track:0L0wwswP2xOiWv25Out7nn"
"106","Bottom Lounge",2023-10-06,"Lauren Sanderson","06vRrrjT3DBRkhBlXoBdYj","But I Like It","7zHDu3EKh7E9ljaPIFrzgv","spotify:track:7zHDu3EKh7E9ljaPIFrzgv"
"107","Bottom Lounge",2023-10-06,"Lauren Sanderson","06vRrrjT3DBRkhBlXoBdYj","THERAPY!","1Mm3g0AaApb6QMMphK8n9V","spotify:track:1Mm3g0AaApb6QMMphK8n9V"
"108","Bottom Lounge",2023-10-06,"Lauren Sanderson","06vRrrjT3DBRkhBlXoBdYj","Hi.","6fgg67ixy8HIuvYYTFizhg","spotify:track:6fgg67ixy8HIuvYYTFizhg"
